symbol,desc,an_dt,attchmntText
BAJAJHFL,Analysts/Institutional Investor Meet/Con. Call Updates,05-Dec-2025 10:04:01,Bajaj Housing Finance Limited has informed the Exchange about Investor/Analyst Group Meet Presentation
HIRECT,Outcome of Board Meeting,05-Dec-2025 09:42:51,"Hind Rectifiers Limited has informed the Exchange regarding Outcome of Board Meeting held on November 06, 2025."
TENNIND,Press Release,05-Dec-2025 09:40:14,"Tenneco Clean Air India Limited has informed the Exchange regarding a press release dated December 05, 2025, titled ""Tenneco Clean Air India Limited Announces Q2 and H1 FY2026 Results""."
GATEWAY,Updates,05-Dec-2025 09:37:56,"Gateway Distriparks Limited has informed the Exchange regarding 'Disclosure under Regulation 29(2) of SEBI (Substantial acquisition of shares and takeovers) Regulations, 2011'."
PRECAM,Analysts/Institutional Investor Meet/Con. Call Updates,05-Dec-2025 09:32:48,Precision Camshafts Limited has informed the Exchange about Transcript
TENNIND,Outcome of Board Meeting,05-Dec-2025 09:26:28,"Tenneco Clean Air India Limited has submitted to the Exchange, the financial results for the period ended September 30, 2025."
LUPIN,Press Release,05-Dec-2025 09:25:18,"Lupin Limited has informed the Exchange regarding a press release dated December 05, 2025, titled ""Lupin Receives Tentative Approval from U.S. FDA for Siponimod Tablets""."
APOLLO,Investor Presentation,05-Dec-2025 08:56:40,Apollo Micro Systems Limited has informed the Exchange about Investor Presentation
ADANIPORTS,Updates,05-Dec-2025 08:54:21,Adani Ports and Special Economic Zone Limited has informed the Exchange regarding 'Media Release'.
BAJAJFINSV,Investor Presentation,05-Dec-2025 08:50:52,Bajaj Finserv Limited has informed the Exchange about Investor Presentation
RGL,General Updates,05-Dec-2025 08:48:49,Update on Direct-to-Consumer (D2C) Business
KAYNES,Updates,05-Dec-2025 08:43:04,Kaynes Technology India Limited has informed the Exchange regarding 'Clarification on summary of report published by Kotak Institutional Equities dated 03rd December 2025'.
SHRIPISTON,Acquisition,05-Dec-2025 07:54:32,Shriram Pistons & Rings Limited has informed the Exchange about Acquisition
COFORGE,Press Release,05-Dec-2025 07:36:11,"Coforge Limited has informed the Exchange regarding a press release dated December 05, 2025, titled ""Coforge named a Leader in Everest Group s Enterprise Quality Engineering (QE) Services PEAK Matrix Assessment 2025""."
RATNAVEER,Committee Meeting Updates,04-Dec-2025 23:42:42,"Ratnaveer Precision Engineering Limited has informed the Exchange regarding Outcome of Committee Meeting held on December 04, 2025 regarding approval of allotment of 12793102 equity shares of facevalue of Rs. 10/- each at a price of Rs. 145/- per equity shares."
IFGLEXPOR,General Updates,04-Dec-2025 23:26:03,IFGL Refractories Limited has informed the Exchange about General Updates
LEMONTREE,General Updates,04-Dec-2025 23:11:35,"Lemon Tree Hotels Limited has informed the Exchange about the cancellation of Analyst / Institutional Investor Meeting scheduled on December 05, 2025 under the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
APLLTD,Analysts/Institutional Investor Meet/Con. Call Updates,04-Dec-2025 22:59:53,Alembic Pharmaceuticals Limited has informed the Exchange about Schedule of meet of one on one meeting with ICICI Prudential
HINDUNILVR,Shareholders meeting,04-Dec-2025 22:46:02,Intimation of Postal Ballot Notice for the appointment of Mr. Niranjan Gupta as Whole-time Director and Mr. Bobby Parikh as Independent Director of the Company
YESBANK,Analysts/Institutional Investor Meet/Con. Call Updates,04-Dec-2025 22:29:39,YES Bank Limited has informed the Exchange about  about Schedule of Analyst/ Institutional Investors Meet(s) / Call(s) / VC(s) - Outcome of UBS Securities India Private Limited                                                                                                                                                                                                                                                                                                                                                                                                                                             vvvvvvvvvvvvv
